320,340,116,190
359,239,281,52
606,292,81,145
340,145,15,95
252,120,104,26
239,141,28,100
70,218,166,28
47,252,142,13
39,280,109,12
35,189,89,11
83,345,18,205
87,588,21,17
109,628,28,22
152,667,22,21
196,690,22,20
241,699,95,22
442,698,98,22
585,687,23,10
630,658,16,11
659,605,20,14
679,437,15,119
320,700,18,270
442,710,17,138
318,952,455,24
442,831,329,17
753,594,21,250
754,783,254,19
994,785,17,402
753,952,20,717
755,1633,233,30
970,1645,16,70
973,1694,113,23
1090,1645,22,70
1090,1642,237,26
1305,1168,24,504
1237,1168,86,20
997,1167,133,20
1116,647,20,540
1236,787,21,394
1118,643,878,22
1234,787,138,20
1355,795,18,514
1361,1291,338,17
1690,1098,21,207
1700,1096,290,22
1978,650,21,458
764,1262,57,162
946,1291,68,156
1233,1235,73,144
1517,651,98,84
1737,657,120,105
1846,660,83,29
1932,784,47,184
1368,861,56,233
1491,1146,79,70
1569,1133,69,73
1602,1095,37,48
